,name,difficulty_code,district,difficulty,description,polyline
1558,20TH AVE S,i,Current,#FFFF00,In street major separation,"[(47.598319615919976, -122.30635968288102), (47.597480174687405, -122.30636213416142)]"
1559,BURKE GILMAN TRL,e,Current,#00FF00,Multi use Trail,"[(47.666266719118184, -122.30060498137162), (47.6662102858202, -122.30046139582656), (47.66620319714704, -122.30044028093596), (47.66620345888344, -122.30043778087423), (47.66620371993142, -122.30043527975397), (47.666203979589454, -122.30043277755532), (47.66620423853216, -122.30043027637565), (47.66620449608498, -122.30042777411745), (47.66620475432591, -122.3004252729178), (47.666205009786914, -122.30042276956151), (47.66620526451933, -122.30042026826277), (47.66620551857675, -122.30041776486681), (47.66620577262077, -122.30041526250952), (47.66620602387133, -122.30041275903416), (47.66620627512187, -122.30041025555889), (47.66620652496893, -122.30040775204387), (47.66620677411426, -122.30040524850908), (47.66620702255783, -122.30040274495451), (47.666207269611306, -122.3004002403215), (47.666207515963066, -122.30039773566858), (47.666207760911384, -122.30039523097614), (47.66620800515797, -122.30039272626384), (47.666208248001084, -122.30039022151193), (47.66620849015585, -122.30038771570139), (47.66620873159548, -122.30038521090981), (47.666208970943394, -122.30038270501998), (47.66620921099296, -122.30038019914996), (47.66620944893731, -122.30037769322048), (47.66620968619334, -122.3003751862324), (47.6662099227342, -122.3003726802633), (47.666210157885104, -122.30037017321582), (47.66621039233413, -122.3003676661485), (47.66621062537975, -122.30036515904152), (47.66621085772369, -122.30036265191477), (47.66621108936585, -122.30036014476806), (47.666211319617894, -122.3003576365431), (47.66621154915483, -122.30035512933694), (47.6662117773018, -122.30035262105261), (47.66621200473353, -122.30035011378705), (47.66621223078863, -122.30034760440432), (47.666212456141956, -122.30034509500189), (47.666212680780184, -122.3003425866182), (47.66621290404168, -122.3003400761175), (47.66621312657472, -122.30033756767446), (47.666213347717694, -122.30033505815301), (47.66621356815891, -122.30033254861183), (47.66621378789832, -122.3003300390507), (47.666214006234426, -122.30032752944996), (47.66621422388206, -122.30032501879076), (47.66621444013961, -122.30032250705307), (47.66621465566872, -122.30031999737304), (47.66621486980774, -122.30031748661467), (47.666215083258386, -122.30031497479769), (47.66621529598056, -122.3003124650384), (47.66621550732599, -122.30030995316199), (47.66621571795634, -122.30030744230457), (47.66621592719662, -122.30030493036871), (47.666216135735176, -122.30030241841295), (47.66621634357198, -122.30029990643743), (47.666216550707, -122.3002973944421), (47.666216755750256, -122.30029488134849), (47.66621696007841, -122.3002923692739), (47.66621716371818, -122.30028985614076), (47.66621736665621, -122.30028734298774), (47.66621756820423, -122.30028482875635), (47.66621776832193, -122.30028231656287), (47.66621796845305, -122.30027980333064), (47.666218166479, -122.30027729003893), (47.66621836381661, -122.3002747756886), (47.66621856115419, -122.30027226133822), (47.66621875568483, -122.30026974690865), (47.66621895160555, -122.30026723355746), (47.666219144732715, -122.30026471908828), (47.666219337859914, -122.3002622046191), (47.6662195288953, -122.30025968905169), (47.666219719917294, -122.30025717452307), (47.66621990954917, -122.300254658916), (47.66622009846591, -122.3002521443279), (47.666220285992665, -122.30024962866138), (47.66622047281763, -122.30024711297504), (47.66622065823918, -122.30024459724922), (47.66622084297231, -122.30024208046467), (47.666221026990385, -122.30023956469907), (47.666221209604934, -122.30023704889385), (47.66622139153119, -122.30023453203009), (47.666221572742266, -122.30023201618523), (47.66622175186158, -122.30022949924225), (47.66622193027917, -122.30022698227936), (47.66622210871004, -122.3002244642777), (47.666222285022485, -122.30022194725538), (47.66622246063312, -122.3002194302133), (47.666222636257075, -122.30021691213244), (47.66622280976259, -122.3002143950309), (47.666222982579654, -122.30021187687068), (47.666223153993336, -122.30020935867094), (47.666223324678434, -122.30020684252887), (47.66622349470195, -122.30020432325078), (47.66622366332212, -122.30020180393296), (47.66622383122706, -122.30019928563416), (47.66622399843027, -122.30019676731553), (47.66622416494512, -122.30019424793824), (47.66622432863974, -122.3001917295205), (47.66622449304937, -122.30018921008384), (47.66622465535386, -122.30018669058784), (47.66622481765836, -122.30018417109167), (47.666224978559384, -122.30018165155589), (47.666225138056994, -122.30017913198063), (47.666225296852815, -122.30017661238541), (47.66622545494687, -122.30017409277038), (47.66622561165086, -122.30017157207708), (47.666225767639745, -122.3001690524026), (47.66622592294034, -122.30016653166966), (47.66622607613575, -122.30016401087713), (47.66622622933107, -122.30016149008475), (47.666226381824586, -122.3001589692725), (47.66622653221309, -122.30015644840071), (47.66622668260146, -122.3001539275291), (47.66622683228811, -122.30015140663764), (47.6662269791679, -122.30014888566683), (47.666227126061074, -122.30014636365732), (47.66622727222571, -122.3001438437056), (47.666227417027066, -122.30014132059782), (47.66622756111327, -122.30013879850905), (47.66622770379596, -122.30013627638068), (47.66622784646532, -122.30013375529114), (47.6662279870429, -122.30013123310334), (47.66622812691875, -122.30012871089565), (47.66622826610616, -122.30012618762946), (47.666228403876815, -122.30012366536245), (47.66622854094572, -122.3001211430756), (47.66622867662447, -122.30011861971035), (47.66622881228991, -122.30011609738385), (47.66622894586357, -122.30011357395912), (47.6662290780337, -122.30011105049488), (47.666229210892126, -122.30010852808914), (47.66622934236053, -122.30010600460494), (47.66622947172378, -122.30010348106147), (47.66622960108698, -122.30010095751794), (47.66622972904672, -122.3000984339348), (47.666229855603014, -122.30009591031197), (47.666229982172666, -122.30009338565048), (47.66623010732546, -122.300090861988), (47.66623023107482, -122.30008833828606), (47.66623035483752, -122.30008581354518), (47.66623047648173, -122.3000832897838), (47.666230597437554, -122.30008076496384), (47.66623071698988, -122.30007824010407), (47.666230836542205, -122.30007571524447), (47.6662309546777, -122.30007319138403), (47.66623107212485, -122.30007066646503), (47.66623118816852, -122.30006814150627), (47.666231302808775, -122.30006561650796), (47.66623141674723, -122.3000630914899), (47.66623152999738, -122.30006056541322), (47.66623164253237, -122.30005804035554), (47.66623175366387, -122.30005551525817), (47.66623186340537, -122.30005298908243), (47.66623197243175, -122.30005046392573), (47.666232080769774, -122.30004793771037), (47.66623218769095, -122.30004541249404), (47.666232293923734, -122.30004288621947), (47.66623239875306, -122.30004035990508), (47.666232502867324, -122.30003783460965), (47.66623260629318, -122.30003530825563), (47.66623270831556, -122.30003278186201), (47.66623280963622, -122.3000302554486), (47.66623290955346, -122.30002772899569), (47.666233008768934, -122.30002520252283), (47.66623310658097, -122.30002267601037), (47.66623320437958, -122.30002015053675), (47.6662333000998, -122.30001762292602), (47.66623339511829, -122.30001509529569), (47.66623348942166, -122.30001256868422), (47.66623358232154, -122.30001004203311), (47.66623367453308, -122.30000751432348), (47.66623376673119, -122.30000498765257), (47.66623385613587, -122.30000245986366), (47.66623394552702, -122.29999993311353), (47.666234033528184, -122.29999740528507), (47.666234120827596, -122.2999948774368), (47.66623420671019, -122.29999235058766), (47.66623429190439, -122.29998982267992), (47.666234376396844, -122.29998729475244), (47.66623445948588, -122.29998476678526), (47.666234541873216, -122.29998223879836), (47.66623462355871, -122.29997971079165), (47.66623470313914, -122.2999771827255), (47.66623478201776, -122.29997465463957), (47.66623486019466, -122.29997212653377), (47.66623493766975, -122.29996959840824), (47.6662350137415, -122.29996707024299), (47.66623508911145, -122.2999645420581), (47.66623516307801, -122.29996201383344), (47.66623523634276, -122.29995948558914), (47.66623530821746, -122.29995695626634), (47.66623537937701, -122.2999544279625), (47.66623544983483, -122.29995189963894), (47.6662355188892, -122.29994937127574), (47.666235587255244, -122.29994684185398), (47.66623565420437, -122.29994431343133), (47.6662357204652, -122.29994178395012), (47.666235786010944, -122.29993925548787), (47.66623585016657, -122.29993672594723), (47.66623591360706, -122.29993419742567), (47.66623597567085, -122.29993166678686), (47.66623603699281, -122.29992913924455), (47.66623609693806, -122.29992660958514), (47.66623615616819, -122.29992408094473), (47.66623621469655, -122.29992155228443), (47.66623627184825, -122.29991902150712), (47.66623632827141, -122.29991649278737), (47.66623638330455, -122.29991396298938), (47.66623643763588, -122.29991143317156), (47.66623649055047, -122.2999089043529), (47.66623654277667, -122.2999063744757), (47.66623659431441, -122.29990384353984), (47.66623664372034, -122.29990131462219), (47.666236693841284, -122.29989878468557), (47.66623674184374, -122.29989625572824), (47.666236789157765, -122.29989372571237), (47.66623683647176, -122.29989119569653), (47.66623688097889, -122.29988866560149), (47.666236924797694, -122.29988613444783), (47.6662369685763, -122.29988360641046), (47.66623701027652, -122.29988107623623), (47.66623705197676, -122.29987854606198), (47.66623709227341, -122.29987601584808), (47.6662371311667, -122.29987348559466), (47.66623716935825, -122.2998709553214), (47.66623720683466, -122.29986842606715), (47.66623724293444, -122.29986589469566), (47.666237278318995, -122.29986336434322), (47.66623731298847, -122.29986083500968), (47.66623734626785, -122.29985830459778), (47.66623737814384, -122.29985577414634), (47.666237409318086, -122.2998532436751), (47.66623743977716, -122.29985071422283), (47.66623746885958, -122.29984818265342), (47.66623749722682, -122.29984565210292), (47.666237524892395, -122.29984312153267), (47.666237551154445, -122.29984059092284), (47.66623757599969, -122.29983806131206), (47.66623760085829, -122.2998355306626), (47.6662376236118, -122.2998329999538), (47.66623764636516, -122.29983046924495), (47.666237667715116, -122.29982793849645), (47.66623768766165, -122.29982540770843), (47.66623770690641, -122.29982287690059), (47.66623772543603, -122.29982034711162), (47.66623774257563, -122.29981781624441), (47.66623775901341, -122.29981528535738), (47.666237774749504, -122.29981275445049), (47.666237788380414, -122.29981022348429), (47.666237801997994, -122.29980769355679), (47.66623781422544, -122.29980516255104), (47.666237825751104, -122.29980263152532), (47.66623783585998, -122.29980010149896), (47.666237845267084, -122.29979757145259), (47.66623785329759, -122.2997950392893), (47.666237860599495, -122.29979250918367), (47.66623786721306, -122.29978997801938), (47.666237872423174, -122.29978744681559), (47.66623787761992, -122.29978491665058), (47.666237880023125, -122.2997823853676), (47.666237882412915, -122.29977985512333), (47.66623788341266, -122.29977732380073), (47.666237883697285, -122.29977479349719), (47.66623788329351, -122.29977226213497), (47.66623788147292, -122.29976973177195), (47.66623787895062, -122.29976720138919), (47.666237875038256, -122.29976466992802), (47.66623787041075, -122.29976213948575), (47.66623786508147, -122.29975960902385), (47.66623785836214, -122.29975707748353), (47.6662378509277, -122.29975454696206), (47.66623784208983, -122.29975201640114), (47.666237831848484, -122.29974948580055), (47.666237821607105, -122.29974695520002), (47.666237809962304, -122.29974442455978), (47.66623779762908, -122.2997418928612), (47.66623778387908, -122.29973936216166), (47.66623776872553, -122.29973683142254), (47.66623775355868, -122.29973430172217), (47.666237736299976, -122.29973177092364), (47.666237719041334, -122.29972924012516), (47.66623770039253, -122.29972670824831), (47.666237681015275, -122.29972417842917), (47.66623766023452, -122.29972164857043), (47.66623763806377, -122.29971911763339), (47.666237615892875, -122.29971658669628), (47.666237592291864, -122.29971405779716), (47.666237567327485, -122.29971152574215), (47.66623754163464, -122.29970899574485), (47.66623751525343, -122.29970646468905), (47.66623748745537, -122.29970393463238), (47.666237458955614, -122.2997014045559), (47.666237429065774, -122.29969887340108), (47.66623739846081, -122.29969634326532), (47.66623736715404, -122.2996938131097), (47.66623733514561, -122.29969128293426), (47.666237301032034, -122.29968875269942), (47.66623726623001, -122.2996862214061), (47.666237230699515, -122.29968369217042), (47.666237193779004, -122.29968116185655), (47.66623715615666, -122.29967863152277), (47.6662371178326, -122.29967610116918), (47.66623707810515, -122.29967357077604), (47.66623703696085, -122.29967104138211), (47.66623699582983, -122.29966851094937), (47.666236953295446, -122.299665980477), (47.66623690934423, -122.2996634510039), (47.666236864691186, -122.29966092151102), (47.66623681934984, -122.29965839095954), (47.666236772591716, -122.29965586140729), (47.66623672513178, -122.29965333183519), (47.666236676268326, -122.29965080222344), (47.666236626729926, -122.29964827051448), (47.66623657644976, -122.29964574190205), (47.666236524779414, -122.29964321221115), (47.6662364716923, -122.29964068351954), (47.66623641861849, -122.29963815378918), (47.66623636414127, -122.29963562401912), (47.666236308260515, -122.29963309420951), (47.666236251664714, -122.29963056541895), (47.666236193678884, -122.29962803554993), (47.66623613567953, -122.2996255067198), (47.66623607558846, -122.2996229767915), (47.66623601548398, -122.29962044790189), (47.66623595397601, -122.29961791897269), (47.66623589106459, -122.29961539000408), (47.6662358274515, -122.2996128610155), (47.66623576313662, -122.29961033200728), (47.66623569741833, -122.29960780295937), (47.666235631699934, -122.29960527391145), (47.66623556317473, -122.29960274478444), (47.66623549463606, -122.29960021669618), (47.6662354254091, -122.2995976875494), (47.666235354765206, -122.29959515940178), (47.666235283433046, -122.2995926301955), (47.66623521068401, -122.29959010198849), (47.66623513653159, -122.2995875737419), (47.66623506237903, -122.29958504549533), (47.66623498682307, -122.29958251720916), (47.6662349098637, -122.29957998888342), (47.66623483290419, -122.29957746055769), (47.66623475383962, -122.29957493217259), (47.666234674761604, -122.29957240482625), (47.66623459499527, -122.29956987642136), (47.66623451242197, -122.29956734793731), (47.666234429835356, -122.29956482049205), (47.66623434654701, -122.29956229302692), (47.666234261868475, -122.2995597644835), (47.66623417646161, -122.29955723799793), (47.66623408966456, -122.2995547104338), (47.66623400216572, -122.29955218285008), (47.66623391396522, -122.2995496552465), (47.66623382365957, -122.2995471275835), (47.66623373334049, -122.2995446009594), (47.666233642332976, -122.29954207327661), (47.66623354990873, -122.29953954659304), (47.66623345609437, -122.29953701883115), (47.6662333615649, -122.29953449208834), (47.666233266333705, -122.2995319653256), (47.66623316969904, -122.29952943852335), (47.66623307306435, -122.29952691172105), (47.66623297360939, -122.29952438587836), (47.666232874167804, -122.29952185899693), (47.66623277330943, -122.29951933311484), (47.66623267246435, -122.29951680619382), (47.66623256951408, -122.2995142792135), (47.66623246653707, -122.29951175431073), (47.66623236146831, -122.2995092283097), (47.66623225639938, -122.29950670230885), (47.66623214992711, -122.29950417626824), (47.66623204205136, -122.29950165018819), (47.66623193417562, -122.29949912410815), (47.66623182418131, -122.29949659900753), (47.666231714186985, -122.29949407390676), (47.66623160280257, -122.2994915477278), (47.66623149000134, -122.29948902254802), (47.66623137649838, -122.2994864973484), (47.66623126229359, -122.29948397212905), (47.666231146685504, -122.29948144687008), (47.666231030362226, -122.29947892263012), (47.666230912648786, -122.29947639731182), (47.66623079422029, -122.29947387301249), (47.66623067509014, -122.29947134869339), (47.66623055455645, -122.2994688243347), (47.66623043330764, -122.29946630099505), (47.666230310682195, -122.2994637755383), (47.666230186639886, -122.29946125108067), (47.66623006259753, -122.29945872662309), (47.66622993784004, -122.29945620318453), (47.666229810977434, -122.29945367968655), (47.66622968272476, -122.29945115511022), (47.666229555160356, -122.29944863159254), (47.66622942619251, -122.2994461080351), (47.666229295821196, -122.29944358443828), (47.66622916403305, -122.29944106184065), (47.666229031556625, -122.29943853818435), (47.66622889836502, -122.29943601554717), (47.666228763783295, -122.29943349183154), (47.66622862848649, -122.299430969135), (47.66622849248798, -122.29942844641869), (47.66622835508596, -122.29942592366274), (47.6662282169689, -122.2994234019258), (47.66622807746174, -122.29942087911043), (47.66622793723945, -122.29941835731414), (47.666227795627044, -122.29941583443957), (47.666229830083616, -122.2994135818096), (47.666207941577085, -122.29916189014796), (47.66620350538343, -122.2991108772454), (47.666162220475115, -122.29879656695418), (47.66608360517119, -122.29844765425561), (47.665959678373, -122.29809746576018), (47.66585754369666, -122.29781499501405), (47.66571807990564, -122.29749792343601), (47.665511796434785, -122.29708950294649), (47.665297672632924, -122.29670323213264), (47.6650521916007, -122.29640555105867), (47.664904023028114, -122.29617771110544), (47.664665662323905, -122.2959137848909), (47.66444733680322, -122.29561786437569)]"
1563,E CHERRY ST,d,Current,#FF0000,In street minor separation,"[(47.60805331155761, -122.3154575683308), (47.608047979172056, -122.3141523192665)]"
1566,LINCOLN PARK WAY SW,d,Current,#FF0000,In street minor separation,"[(47.54070141667646, -122.39646048521982), (47.540531389667514, -122.39621430564615), (47.5403618154047, -122.39603225440975), (47.54020215141463, -122.39583160749605), (47.54005332983681, -122.39561353737697), (47.53991622449376, -122.39537932253704)]"
1567,SWIFT AVE S,d,Current,#FF0000,In street minor separation,"[(47.549540707132806, -122.31231947036336), (47.54953893496138, -122.31231637595329), (47.54930924979341, -122.31183591119388), (47.54907883773139, -122.31141118863944), (47.54888558864824, -122.31113063621709)]"
1569,FREMONT AVE N,e,Current,#00FF00,Enhanced Street,"[(47.70650516851456, -122.3501078814866), (47.70687815333229, -122.35011403914967), (47.70688388657057, -122.35011406410801)]"
1577,CALIFORNIA AVE SW,d,Current,#FF0000,Sharrows,"[(47.57125968162582, -122.38676588743142), (47.57019136450985, -122.38676709802715)]"
1578,GREENWOOD AVE N,d,Current,#FF0000,In street minor separation,"[(47.69783860025571, -122.35537701185058), (47.69964984574925, -122.35539594635372)]"
1579,BROADWAY,i,Current,#FFFF00,In street major separation,"[(47.61523531164618, -122.32079865436948), (47.61640331904487, -122.32081712485356)]"
1587,31ST AVE S,d,Current,#FF0000,In street minor separation,"[(47.59250381810473, -122.29280077206158), (47.5923388327821, -122.29275477753082), (47.59223494553279, -122.29267257486389), (47.592135358206, -122.29257353145893)]"
1589,E LYNN ST,d,Current,#FF0000,In street minor separation,"[(47.63956545373887, -122.31237237268853), (47.63956180083101, -122.31077139624111)]"
1592,EAST GREEN LAKE WAY N,i,Current,#FFFF00,In street major separation,"[(47.66983612993465, -122.34001046507609), (47.670203911002574, -122.34000512874027)]"
1594,NE 65TH ST,d,Current,#FF0000,In street minor separation,"[(47.67587850277732, -122.32310814835914), (47.675875869880144, -122.32287900626632), (47.6758754119907, -122.322837895519)]"
1596,FREMONT AVE N,i,Current,#FFFF00,In street major separation,"[(47.66430127612078, -122.35001752459976), (47.665040750326945, -122.35000285345436)]"
1598,JEFFERSON ST,d,Current,#FF0000,In street minor separation,"[(47.60619746497667, -122.31547074139709), (47.60619196481053, -122.31416533584822)]"
1599,SAND POINT WAY NE,i,Current,#FFFF00,In street major separation,"[(47.66370766219168, -122.28406529610363), (47.66427215872109, -122.28347770413116), (47.66427508103825, -122.28347466212601)]"
1600,BURKE GILMAN TRL,e,Current,#00FF00,Multi use Trail,"[(47.66590229691817, -122.28580693372102), (47.666075332469454, -122.28576071103733), (47.66619281475547, -122.28570115715456), (47.66639555549786, -122.28561256983966), (47.66656687466828, -122.2854916864475), (47.666695164501654, -122.28541672556678), (47.66682263797126, -122.28532568040447), (47.66697150584696, -122.28518469111073), (47.66715608788418, -122.28499131284556), (47.667308444507405, -122.28480764418757)]"
1601,ALKI TRL,e,Current,#00FF00,Multi use Trail,"[(47.59502569973898, -122.38486290803995), (47.59508479271646, -122.38504285650758), (47.595159244272615, -122.38534953938263), (47.59522545293689, -122.38571133596223), (47.59525619525899, -122.38592814599723), (47.59525653911148, -122.38617726357022), (47.595261381360196, -122.38637115773857), (47.59524622360125, -122.38665856331039), (47.59521398967942, -122.38694299852754), (47.59516151090705, -122.38717210136696), (47.59512097014725, -122.38733018092532), (47.59502675289931, -122.38764843868063), (47.5939270765775, -122.39006281762276), (47.593693086166795, -122.39042362823915), (47.59352347095289, -122.390604435917), (47.59067674273358, -122.39300946230806), (47.58368981759347, -122.40107419065758), (47.58297241959184, -122.4018968704736), (47.58269075569219, -122.40231848691423), (47.58245924054947, -122.40284017702855), (47.58019816776448, -122.40801699215758)]"
1604,NE 125TH ST,i,Current,#FFFF00,In street major separation,"[(47.71942296136676, -122.31404256128472), (47.71942290678517, -122.31403427757412), (47.71941404350005, -122.31267877380631)]"
1607,RENTON AVE S,d,Current,#FF0000,In street minor separation,"[(47.51805305152673, -122.27087934592936), (47.517939165425865, -122.27079569202627), (47.51786903071177, -122.27074060829048), (47.51779958073567, -122.27068366499692), (47.51773083915595, -122.27062487834596), (47.517662828162074, -122.27056426967782), (47.517595568579296, -122.2705018571863), (47.51753284316603, -122.2704413593266), (47.51747082405903, -122.27037929367287), (47.517409530693634, -122.27031567734284), (47.51734898036087, -122.27025053050288), (47.51729875782864, -122.27019469557116), (47.517249082043094, -122.27013780960397), (47.5171999613313, -122.27007988008504), (47.517151406774865, -122.27002091871874)]"
1610,LINDEN AVE N,d,Current,#FF0000,In street minor separation,"[(47.67868859354793, -122.3472746994755), (47.67959528275781, -122.34727836000135)]"
1613,AIRPORT WAY S,i,Current,#FFFF00,In street major separation,"[(47.55010246769241, -122.31775433945414), (47.54955610073783, -122.31720777000099)]"
1627,                                 ,e,Current,#00FF00,Enhanced Street,"[(47.52649438337569, -122.35642003023996), (47.524702945159994, -122.35642908827553)]"
1640,ROOSEVELT WAY NE,i,Current,#FFFF00,In street major separation,"[(47.690369086731195, -122.31761629171281), (47.691279709001456, -122.31761138040736)]"
1641,12TH AVE,d,Current,#FF0000,In street minor separation,"[(47.607427019509444, -122.31678006599998), (47.60805877879607, -122.31677991547176)]"
1642,STEWART ST,i,Current,#FFFF00,In street major separation,"[(47.6169449438316, -122.33271816624364), (47.61754143543037, -122.33194664543704), (47.61760953439174, -122.3318585615345)]"
1643,MOUNTAINS TO SOUND TRL,e,Current,#00FF00,Multi use Trail,"[(47.5896323021537, -122.30954272459554), (47.58958713113967, -122.30924574826624), (47.58957871117458, -122.30904552902412), (47.589579401555426, -122.30887468563215), (47.5896100076867, -122.30876080435883), (47.589639438388254, -122.30869467392216), (47.58970155007131, -122.30854809659094), (47.58973170572093, -122.30842253928118), (47.58974456023281, -122.30832680975975), (47.58981918333348, -122.3058590975393), (47.589811690844726, -122.30574093535324), (47.58979433231941, -122.30564701411208), (47.58969776074781, -122.30535502438687), (47.58967180548911, -122.30522820353144), (47.589665960870875, -122.3050982429634), (47.589673967467185, -122.30349864603262), (47.58952536145532, -122.30304503226674), (47.589562397709344, -122.30241016766675)]"
1644,S ROYAL BROUGHAM WAY,i,Current,#FFFF00,In street major separation,"[(47.59239917450037, -122.33549223349904), (47.592395717960564, -122.33419450659953)]"
1648,15TH AVE E,d,Current,#FF0000,In street minor separation,"[(47.634554144475, -122.3130374533555), (47.63460649443936, -122.31308368917954), (47.634659557978495, -122.3131281113825), (47.63471330596085, -122.31317069316896), (47.634767709187344, -122.31321141293353), (47.63482273848595, -122.31325024699424), (47.634878363928614, -122.31328717580172), (47.63493455557417, -122.31332218084415), (47.634991282131395, -122.31335523941705), (47.63504851361844, -122.31338633612229), (47.63510256218272, -122.3134136742504), (47.635156999900936, -122.31343926321046), (47.635211802390614, -122.31346308880269), (47.63526694313715, -122.31348513884352), (47.63532239554471, -122.31350540737839), (47.63537813311189, -122.3135238811851), (47.635434130673325, -122.31354055227249), (47.6354903595549, -122.313555412549), (47.63554679459092, -122.3135684540228), (47.6356034084565, -122.31357967279516)]"
1651,12TH AVE S,i,Current,#FFFF00,In street major separation,"[(47.591539712551565, -122.31728052576638), (47.58998806151326, -122.31728019813714)]"
1653,BEACON AVE S,d,Current,#FF0000,Sharrows,"[(47.53168581875859, -122.28841703885259), (47.531435596197575, -122.28830380456117), (47.53133769871832, -122.288267876959), (47.53123132074313, -122.28823586163548), (47.53113331701191, -122.28820823015717), (47.53099884727609, -122.2881754329275), (47.5309986602414, -122.28817540283148)]"
1655,BURKE GILMAN ACCESS TRL,e,Current,#00FF00,Multi use Trail,"[(47.73175176417899, -122.28447196506649), (47.73191252444842, -122.28358869461019), (47.73198209822593, -122.28260456155883)]"
1659,SWIFT AVE S,i,Current,#FFFF00,In street major separation,"[(47.54573946143134, -122.30642626185399), (47.54572551178653, -122.30641054025529), (47.54540983145763, -122.30609417826622)]"
1660,CALIFORNIA AVE SW,d,Current,#FF0000,Sharrows,"[(47.57382122891534, -122.38676255792946), (47.57318178888749, -122.3867634279169)]"
1661,31ST AVE S,d,Current,#FF0000,In street minor separation,"[(47.597988471918406, -122.29257192004309), (47.5979481412341, -122.29259054753211), (47.597907747216816, -122.2926141119949), (47.59785739701762, -122.29263245849421), (47.596663972842876, -122.29267623463099)]"
1664,AIRPORT WAY S,i,Current,#FFFF00,In street major separation,"[(47.5941578670267, -122.32507145721962), (47.59327855958447, -122.32449983421827)]"
1667,SW MORGAN ST,i,Current,#FFFF00,In street major separation,"[(47.54480313745088, -122.38187539773274), (47.5448198028593, -122.38315486148912)]"
1669,BROADWAY,i,Current,#FFFF00,In street major separation,"[(47.60807346828355, -122.32075479264219), (47.60924149975324, -122.32075677357403)]"
1671,NW 100TH PL,d,Current,#FF0000,Sharrows,"[(47.701510986764, -122.36564962513837), (47.7013548403734, -122.36593319164368), (47.70128807753224, -122.36605443488601)]"
1672,BROADWAY,i,Current,#FFFF00,In street major separation,"[(47.603285422407424, -122.32074144454644), (47.60352143634339, -122.3207419326914)]"
1689,EAST MARGINAL WAY S,i,Current,#FFFF00,In street major separation,"[(47.573706950391596, -122.33969922857675), (47.57268154636215, -122.33969136253835), (47.572276809664956, -122.33968796798223), (47.571700327432005, -122.33968006994789)]"
1690,E UNION ST,i,Current,#FFFF00,In street major separation,"[(47.612946033527656, -122.30141715866047), (47.61293721302277, -122.30011079557056)]"
1691,BROADWAY E,i,Current,#FFFF00,In street major separation,"[(47.62312892230992, -122.32092426286485), (47.62426903702351, -122.32094239092694)]"
1692,15TH AVE S,d,Current,#FF0000,In street minor separation,"[(47.55904954883286, -122.31343050740621), (47.557900002900546, -122.31343921553335)]"
1693,NE 75TH ST,d,Current,#FF0000,In street minor separation,"[(47.68304587385354, -122.31207927319298), (47.6830463545638, -122.31100764485369)]"
1694,EAST MARGINAL WAY S,i,Current,#FFFF00,In street major separation,"[(47.538650447515, -122.32063030615996), (47.537345414324605, -122.31832695237753), (47.535487367881395, -122.31520121972282)]"
